job uses node node463
LAMMPS (5 Nov 2016)
Running on 1 partitions of processors
dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
getting bdna/curv dists!
pair list epair 1 5 -0.122704
pair list epair 6 44 -0.888053
pair list epair 7 12 -0.493103
pair list epair 7 40 -0.737119
pair list epair 8 12 -0.728818
pair list epair 8 40 -0.836841
pair list epair 8 13 -0.634709
pair list epair 8 16 -0.896235
pair list epair 8 44 -0.573331
pair list epair 8 48 -0.885483
pair list epair 9 13 -0.879884
pair list epair 9 14 -0.886564
pair list epair 10 14 -0.891205
pair list epair 11 15 -0.181275
pair list epair 11 38 -0.311628
pair list epair 12 38 -0.588626
pair list epair 12 40 -0.877684
pair list epair 12 16 -0.287550
pair list epair 12 34 -0.891053
pair list epair 12 39 -0.534640
pair list epair 13 48 -0.869583
pair list epair 13 17 -0.893592
pair list epair 14 18 -0.867839
pair list epair 15 19 -0.099163
pair list epair 15 34 -0.873649
pair list epair 15 49 -0.479930
pair list epair 15 37 -0.500002
pair list epair 15 38 -0.253490
pair list epair 16 38 -0.893728
pair list epair 16 34 -0.379673
pair list epair 16 49 -0.005852
pair list epair 16 20 -0.288230
pair list epair 16 21 -0.042441
pair list epair 16 48 -0.161722
pair list epair 16 40 -0.644682
pair list epair 16 44 -0.391611
pair list epair 16 45 -0.602858
pair list epair 17 48 -0.285923
pair list epair 17 21 -0.833419
pair list epair 18 22 -0.023321
pair list epair 18 23 -0.521678
pair list epair 19 34 -0.861433
pair list epair 19 23 -0.775130
pair list epair 19 26 -0.513583
pair list epair 19 49 -0.138775
pair list epair 19 30 -0.797776
pair list epair 20 49 0.368668
pair list epair 20 52 -0.033308
pair list epair 20 48 -0.285022
pair list epair 20 56 -0.085776
pair list epair 20 24 -0.886689
pair list epair 20 53 -0.885722
pair list epair 21 52 -0.554347
pair list epair 21 56 -0.553794
pair list epair 23 49 -0.037351
pair list epair 23 27 -0.868823
pair list epair 23 30 -0.896268
pair list epair 24 49 -0.009598
pair list epair 24 53 -0.056365
pair list epair 24 57 -0.651229
pair list epair 25 53 -0.031022
pair list epair 25 30 -0.681208
pair list epair 26 49 -0.136160
pair list epair 26 53 -0.887749
pair list epair 26 30 -0.107278
pair list epair 26 31 -0.828589
pair list epair 26 45 -0.030800
pair list epair 26 34 -0.369848
pair list epair 27 31 -0.820971
pair list epair 28 32 -0.830008
pair list epair 29 33 -0.834232
pair list epair 30 34 -0.648095
pair list epair 31 45 -0.083468
pair list epair 31 35 0.024479
pair list epair 31 42 -0.322520
pair list epair 31 46 -0.354361
pair list epair 31 43 -0.213316
pair list epair 32 42 -0.156797
pair list epair 32 36 -0.580683
pair list epair 33 37 -0.636517
pair list epair 34 38 -0.789661
pair list epair 34 39 -0.104229
pair list epair 34 40 -0.218286
pair list epair 34 45 0.010922
pair list epair 34 49 -0.006378
pair list epair 35 45 -0.644587
pair list epair 35 40 -0.256749
pair list epair 35 39 0.000117
pair list epair 35 41 -0.413524
pair list epair 35 42 -0.853043
pair list epair 38 45 -0.896226
pair list epair 39 44 -0.006484
pair list epair 40 44 -0.784790
pair list epair 40 45 -0.497402
pair list epair 41 45 -0.880657
pair list epair 42 46 -0.436375
pair list epair 42 47 -0.659569
pair list epair 43 47 -0.721628
pair list epair 44 48 -0.608647
pair list epair 45 49 -0.583926
pair list epair 46 50 -0.877907
pair list epair 47 51 -0.030800
pair list epair 48 52 -0.732825
pair list epair 48 55 -0.882008
pair list epair 49 53 -0.716236
pair list epair 50 54 -0.693282
pair list epair 50 55 -0.503838
pair list epair 51 55 -0.272550
pair list epair 52 56 -0.845693
pair list epair 52 57 -0.379945
pair list epair 53 57 0.077930
pair list epair 53 58 -0.008458
pair list epair 54 58 -0.556880
pair list epair 55 59 -0.525397
pair list epair 56 60 -0.014076
pair list epair 57 61 -0.039834
pair list epair 58 62 -0.781907
pair lj/cut/coul/debye evdwl 0 4 -0.000122
pair lj/cut/coul/debye ecoul 0 4 0.078386
pair lj/cut/coul/debye evdwl 0 5 0.000000
pair lj/cut/coul/debye ecoul 0 5 0.040456
pair lj/cut/coul/debye evdwl 0 6 0.000000
pair lj/cut/coul/debye ecoul 0 6 0.000000
pair lj/cut/coul/debye evdwl 0 36 0.000000
pair lj/cut/coul/debye ecoul 0 36 0.000000
pair lj/cut/coul/debye evdwl 0 39 0.000000
pair lj/cut/coul/debye ecoul 0 39 0.006965
pair lj/cut/coul/debye evdwl 0 40 0.000000
pair lj/cut/coul/debye ecoul 0 40 0.000000
pair lj/cut/coul/debye evdwl 0 41 0.000000
pair lj/cut/coul/debye ecoul 0 41 0.000000
pair lj/cut/coul/debye evdwl 0 42 0.000000
pair lj/cut/coul/debye ecoul 0 42 0.000000
pair lj/cut/coul/debye evdwl 0 43 0.000000
pair lj/cut/coul/debye ecoul 0 43 0.000000
pair lj/cut/coul/debye evdwl 0 44 0.000000
pair lj/cut/coul/debye ecoul 0 44 0.000000
pair lj/cut/coul/debye evdwl 0 80 0.000000
pair lj/cut/coul/debye ecoul 0 80 -0.009649
pair lj/cut/coul/debye evdwl 0 81 0.000000
pair lj/cut/coul/debye ecoul 0 81 0.000000
pair lj/cut/coul/debye evdwl 0 83 0.000000
pair lj/cut/coul/debye ecoul 0 83 -0.026002
pair lj/cut/coul/debye evdwl 0 84 0.000000
pair lj/cut/coul/debye ecoul 0 84 0.000000
pair lj/cut/coul/debye evdwl 0 86 -0.000556
pair lj/cut/coul/debye ecoul 0 86 -0.068736
pair lj/cut/coul/debye evdwl 0 16 0.000000
pair lj/cut/coul/debye ecoul 0 16 0.000000
pair lj/cut/coul/debye evdwl 0 19 0.000000
pair lj/cut/coul/debye ecoul 0 19 0.001825
pair lj/cut/coul/debye evdwl 0 20 0.000000
pair lj/cut/coul/debye ecoul 0 20 0.000000
pair lj/cut/coul/debye evdwl 0 22 0.000000
pair lj/cut/coul/debye ecoul 0 22 0.000000
pair lj/cut/coul/debye evdwl 0 23 0.000000
pair lj/cut/coul/debye ecoul 0 23 0.000000
pair lj/cut/coul/debye evdwl 0 24 0.000000
pair lj/cut/coul/debye ecoul 0 24 0.001797
pair lj/cut/coul/debye evdwl 0 25 0.000000
pair lj/cut/coul/debye ecoul 0 25 0.000000
pair lj/cut/coul/debye evdwl 0 26 0.000000
pair lj/cut/coul/debye ecoul 0 26 0.000000
pair lj/cut/coul/debye evdwl 0 27 0.000000
pair lj/cut/coul/debye ecoul 0 27 0.000000
pair lj/cut/coul/debye evdwl 0 28 0.000000
pair lj/cut/coul/debye ecoul 0 28 0.000000
pair lj/cut/coul/debye evdwl 0 29 0.000000
pair lj/cut/coul/debye ecoul 0 29 0.000000
pair lj/cut/coul/debye evdwl 0 30 0.000000
pair lj/cut/coul/debye ecoul 0 30 -0.002321
pair lj/cut/coul/debye evdwl 0 31 0.000000
pair lj/cut/coul/debye ecoul 0 31 0.004814
pair lj/cut/coul/debye evdwl 0 32 0.000000
pair lj/cut/coul/debye ecoul 0 32 -0.006404
pair lj/cut/coul/debye evdwl 0 33 0.000000
pair lj/cut/coul/debye ecoul 0 33 0.000000
pair lj/cut/coul/debye evdwl 0 34 0.000000
pair lj/cut/coul/debye ecoul 0 34 0.000000
pair lj/cut/coul/debye evdwl 0 35 0.000000
pair lj/cut/coul/debye ecoul 0 35 0.000000
pair lj/cut/coul/debye evdwl 0 37 0.000000
pair lj/cut/coul/debye ecoul 0 37 0.000000
pair lj/cut/coul/debye evdwl 0 45 0.000000
pair lj/cut/coul/debye ecoul 0 45 0.000000
pair lj/cut/coul/debye evdwl 0 46 0.000000
pair lj/cut/coul/debye ecoul 0 46 0.009863
pair lj/cut/coul/debye evdwl 0 47 0.000000
pair lj/cut/coul/debye ecoul 0 47 0.000000
pair lj/cut/coul/debye evdwl 0 48 0.000000
pair lj/cut/coul/debye ecoul 0 48 0.000000
pair lj/cut/coul/debye evdwl 0 49 0.000000
pair lj/cut/coul/debye ecoul 0 49 0.000000
pair lj/cut/coul/debye evdwl 0 50 0.000000
pair lj/cut/coul/debye ecoul 0 50 0.000000
pair lj/cut/coul/debye evdwl 0 52 0.000000
pair lj/cut/coul/debye ecoul 0 52 0.000000
pair lj/cut/coul/debye evdwl 0 107 0.000000
pair lj/cut/coul/debye ecoul 0 107 -0.000767
pair lj/cut/coul/debye evdwl 0 108 0.000000
pair lj/cut/coul/debye ecoul 0 108 0.000000
pair lj/cut/coul/debye evdwl 0 116 0.000000
pair lj/cut/coul/debye ecoul 0 116 0.000000
pair lj/cut/coul/debye evdwl 0 118 0.000000
pair lj/cut/coul/debye ecoul 0 118 -0.006481
pair lj/cut/coul/debye evdwl 0 119 0.000000
pair lj/cut/coul/debye ecoul 0 119 0.000000
pair lj/cut/coul/debye evdwl 0 120 0.000000
pair lj/cut/coul/debye ecoul 0 120 0.000000
pair lj/cut/coul/debye evdwl 0 121 0.000000
pair lj/cut/coul/debye ecoul 0 121 -0.005842
pair lj/cut/coul/debye evdwl 0 122 0.000000
pair lj/cut/coul/debye ecoul 0 122 0.000000
pair lj/cut/coul/debye evdwl 0 123 0.000000
pair lj/cut/coul/debye ecoul 0 123 0.000000
pair lj/cut/coul/debye evdwl 0 124 0.000000
pair lj/cut/coul/debye ecoul 0 124 -0.003003
pair lj/cut/coul/debye evdwl 0 65 0.000000
pair lj/cut/coul/debye ecoul 0 65 -0.003023
